swatch,axis,angle_deg,tx,rx,range_m,power_db,delta_power_db_vs_baseline,phase_deg,phase_shift_vs_baseline_deg,snr_db,n_repeats,n_loops_total,coherence_within_file,coherence_across_repeats
asa,boresight,0.0,0,0,1.78,69.81,-1.18,-11.92,126.37,-13.69,3,1080,0.4535,0.9325
asa,boresight,0.0,0,1,1.78,69.4,-4.25,-120.8,13.19,-13.69,3,1080,0.4618,0.9899
asa,boresight,0.0,0,2,1.78,62.19,-9.72,-174.43,-32.9,-13.69,3,1080,0.375,0.5794
asa,boresight,0.0,0,3,1.78,59.69,-13.79,-147.02,-10.86,-13.69,3,1080,0.2011,0.8658
asa,boresight,0.0,1,0,1.78,67.87,-6.37,-67.29,64.49,-13.69,3,1080,0.3723,0.9421
asa,boresight,0.0,1,1,1.78,70.23,-3.45,-173.79,-26.56,-13.69,3,1080,0.5042,0.9225
asa,boresight,0.0,1,2,1.78,56.82,-14.2,78.08,-137.66,-13.69,3,1080,0.2203,0.5277
asa,boresight,0.0,1,3,1.78,70.57,-5.36,-91.66,43.49,-13.69,3,1080,0.4982,0.9688
asa,boresight,0.0,2,0,1.78,56.94,-14.65,177.22,-44.6,-13.69,3,1080,0.3599,0.3028
asa,boresight,0.0,2,1,1.78,59.14,-10.0,43.26,-149.46,-13.69,3,1080,0.2479,0.5766
asa,boresight,0.0,2,2,1.78,70.81,1.2,-70.14,82.94,-13.69,3,1080,0.5114,0.9967
asa,boresight,0.0,2,3,1.78,69.61,-4.79,-160.34,-11.63,-13.69,3,1080,0.5596,0.9183
asa_rect_1,boresight,0.0,0,0,1.78,65.8,-5.19,-77.97,60.32,-10.91,3,1080,0.3426,0.6702
asa_rect_1,boresight,0.0,0,1,1.78,72.87,-0.78,-120.26,13.72,-10.91,3,1080,0.5933,0.9799
asa_rect_1,boresight,0.0,0,2,1.78,67.39,-4.52,152.81,-65.66,-10.91,3,1080,0.5763,0.5651
asa_rect_1,boresight,0.0,0,3,1.78,65.26,-8.22,-109.68,26.48,-10.91,3,1080,0.2689,0.8554
asa_rect_1,boresight,0.0,1,0,1.78,66.61,-7.63,-144.08,-12.29,-10.91,3,1080,0.4043,0.9972
asa_rect_1,boresight,0.0,1,1,1.78,67.04,-6.65,160.34,-52.44,-10.91,3,1080,0.4055,0.8195
asa_rect_1,boresight,0.0,1,2,1.78,58.61,-12.41,161.77,-53.98,-10.91,3,1080,0.2169,0.6463
asa_rect_1,boresight,0.0,1,3,1.78,66.66,-9.28,-160.6,-25.45,-10.91,3,1080,0.425,0.7412
asa_rect_1,boresight,0.0,2,0,1.78,61.33,-10.26,-101.02,37.16,-10.91,3,1080,0.2481,0.6265
asa_rect_1,boresight,0.0,2,1,1.78,68.55,-0.59,-65.61,101.67,-10.91,3,1080,0.4826,0.7473
asa_rect_1,boresight,0.0,2,2,1.78,75.11,5.5,-117.89,35.19,-10.91,3,1080,0.7264,0.9992
asa_rect_1,boresight,0.0,2,3,1.78,67.13,-7.27,-145.57,3.14,-10.91,3,1080,0.342,0.9558
asa_rect_90offset,boresight,0.0,0,0,1.78,68.37,-2.62,-80.16,58.13,-12.83,3,1080,0.45,0.9253
asa_rect_90offset,boresight,0.0,0,1,1.78,61.58,-12.07,144.98,-81.03,-12.83,3,1080,0.4154,0.3632
asa_rect_90offset,boresight,0.0,0,2,1.78,56.91,-15.0,1.04,142.57,-12.83,3,1080,0.3954,0.2594
asa_rect_90offset,boresight,0.0,0,3,1.78,54.87,-18.61,-75.69,60.47,-12.83,3,1080,0.3541,0.2387
asa_rect_90offset,boresight,0.0,1,0,1.78,62.48,-11.76,78.34,-149.88,-12.83,3,1080,0.424,0.4376
asa_rect_90offset,boresight,0.0,1,1,1.78,63.46,-10.22,31.78,179.01,-12.83,3,1080,0.4422,0.5693
asa_rect_90offset,boresight,0.0,1,2,1.78,53.46,-17.57,-109.17,35.08,-12.83,3,1080,0.3426,0.1818
asa_rect_90offset,boresight,0.0,1,3,1.78,63.2,-12.73,-17.03,118.13,-12.83,3,1080,0.4248,0.4642
asa_rect_90offset,boresight,0.0,2,0,1.78,62.89,-8.7,13.32,151.5,-12.83,3,1080,0.3791,0.5794
asa_rect_90offset,boresight,0.0,2,1,1.78,71.99,2.86,-78.24,89.04,-12.83,3,1080,0.5724,0.9677
asa_rect_90offset,boresight,0.0,2,2,1.78,68.67,-0.94,-154.18,-1.1,-12.83,3,1080,0.398,0.9531
asa_rect_90offset,boresight,0.0,2,3,1.78,68.06,-6.34,34.07,-177.22,-12.83,3,1080,0.5135,0.8341
asa_rect_90offset_run_2,boresight,0.0,0,0,1.78,58.68,-12.31,-150.82,-12.53,-9.61,3,1080,0.3329,0.3388
asa_rect_90offset_run_2,boresight,0.0,0,1,1.78,63.15,-10.5,8.32,142.31,-9.61,3,1080,0.3891,0.4903
asa_rect_90offset_run_2,boresight,0.0,0,2,1.78,65.32,-6.59,-98.18,43.34,-9.61,3,1080,0.3379,0.8025
asa_rect_90offset_run_2,boresight,0.0,0,3,1.78,70.27,-3.21,166.88,-56.96,-9.61,3,1080,0.4079,0.9512
asa_rect_90offset_run_2,boresight,0.0,1,0,1.78,73.69,-0.55,30.7,162.49,-9.61,3,1080,0.6784,0.8126
asa_rect_90offset_run_2,boresight,0.0,1,1,1.78,73.56,-0.13,-87.23,59.99,-9.61,3,1080,0.5426,0.9817
asa_rect_90offset_run_2,boresight,0.0,1,2,1.78,70.34,-0.69,146.03,-69.71,-9.61,3,1080,0.4512,0.8483
asa_rect_90offset_run_2,boresight,0.0,1,3,1.78,69.11,-6.82,35.34,170.49,-9.61,3,1080,0.46,0.7599
asa_rect_90offset_run_2,boresight,0.0,2,0,1.78,72.6,1.01,-98.14,40.05,-9.61,3,1080,0.5509,0.9584
asa_rect_90offset_run_2,boresight,0.0,2,1,1.78,65.9,-3.23,156.26,-36.46,-9.61,3,1080,0.3352,0.838
asa_rect_90offset_run_2,boresight,0.0,2,2,1.78,71.13,1.52,14.98,168.06,-9.61,3,1080,0.6132,0.8439
asa_rect_90offset_run_2,boresight,0.0,2,3,1.78,71.49,-2.91,-85.2,63.51,-9.61,3,1080,0.5501,0.944
asa_rect_run_2,boresight,0.0,0,0,1.78,67.02,-3.97,-37.78,100.51,-12.58,3,1080,0.4084,0.9489
asa_rect_run_2,boresight,0.0,0,1,1.78,72.72,-0.93,-135.57,-1.58,-12.58,3,1080,0.6902,0.9847
asa_rect_run_2,boresight,0.0,0,2,1.78,63.99,-7.92,136.11,-82.36,-12.58,3,1080,0.3867,0.6253
asa_rect_run_2,boresight,0.0,0,3,1.78,39.31,-34.17,153.13,-70.71,-12.58,3,1080,0.1579,0.0995
asa_rect_run_2,boresight,0.0,1,0,1.78,71.45,-2.79,-84.77,47.01,-12.58,3,1080,0.5662,0.9004
asa_rect_run_2,boresight,0.0,1,1,1.78,68.08,-5.61,147.74,-65.03,-12.58,3,1080,0.4279,0.9926
asa_rect_run_2,boresight,0.0,1,2,1.78,57.79,-13.24,-88.88,55.38,-12.58,3,1080,0.1871,0.79
asa_rect_run_2,boresight,0.0,1,3,1.78,68.17,-7.77,-110.64,24.51,-12.58,3,1080,0.4655,0.9116
asa_rect_run_2,boresight,0.0,2,0,1.78,66.36,-5.23,51.42,-170.39,-12.58,3,1080,0.3285,0.8551
asa_rect_run_2,boresight,0.0,2,1,1.78,68.69,-0.44,-79.44,87.84,-12.58,3,1080,0.4136,0.9282
asa_rect_run_2,boresight,0.0,2,2,1.78,71.02,1.41,-106.81,46.27,-12.58,3,1080,0.4747,0.9959
asa_rect_run_2,boresight,0.0,2,3,1.78,66.85,-7.56,-154.58,-5.87,-12.58,3,1080,0.4354,0.8618
asa_stock_run_2,boresight,0.0,0,0,1.78,71.98,0.99,22.83,161.12,-10.39,3,1080,0.509,0.875
asa_stock_run_2,boresight,0.0,0,1,1.78,68.68,-4.97,-90.54,43.45,-10.39,3,1080,0.4269,0.8061
asa_stock_run_2,boresight,0.0,0,2,1.78,48.26,-23.65,-54.28,87.25,-10.39,3,1080,0.185,0.2139
asa_stock_run_2,boresight,0.0,0,3,1.78,64.66,-8.82,79.71,-144.13,-10.39,3,1080,0.3496,0.6918
asa_stock_run_2,boresight,0.0,1,0,1.78,71.08,-3.16,-51.95,79.84,-10.39,3,1080,0.464,0.9862
asa_stock_run_2,boresight,0.0,1,1,1.78,74.12,0.44,168.27,-44.5,-10.39,3,1080,0.5647,0.9978
asa_stock_run_2,boresight,0.0,1,2,1.78,69.86,-1.17,48.96,-166.79,-10.39,3,1080,0.4535,0.9555
asa_stock_run_2,boresight,0.0,1,3,1.78,67.58,-8.35,-79.04,56.12,-10.39,3,1080,0.3144,0.964
asa_stock_run_2,boresight,0.0,2,0,1.78,56.34,-15.25,150.33,-71.49,-10.39,3,1080,0.1975,0.5154
asa_stock_run_2,boresight,0.0,2,1,1.78,65.83,-3.3,74.34,-118.38,-10.39,3,1080,0.2658,0.9823
asa_stock_run_2,boresight,0.0,2,2,1.78,72.7,3.09,-51.54,101.54,-10.39,3,1080,0.5412,0.9721
asa_stock_run_2,boresight,0.0,2,3,1.78,73.26,-1.14,178.27,-33.02,-10.39,3,1080,0.5811,0.9974
pc_rect,boresight,0.0,0,0,1.78,65.4,-5.6,5.05,143.34,-10.98,3,1080,0.4027,0.8204
pc_rect,boresight,0.0,0,1,1.78,68.32,-5.33,-53.37,80.62,-10.98,3,1080,0.4538,0.9341
pc_rect,boresight,0.0,0,2,1.78,65.95,-5.96,-97.56,43.97,-10.98,3,1080,0.4983,0.7393
pc_rect,boresight,0.0,0,3,1.78,58.54,-14.94,-53.27,82.89,-10.98,3,1080,0.4404,0.2974
pc_rect,boresight,0.0,1,0,1.78,72.18,-2.06,-47.17,84.61,-10.98,3,1080,0.7548,0.9998
