swatch,axis,angle_deg,range_m,mean_delta_power_db_vs_baseline,worst_delta_power_db_vs_baseline,mean_abs_phase_shift_deg,max_abs_phase_shift_deg,snr_db,n_repeats
asa,boresight,0.0,1.78,-7.22,-14.65,62.01,149.46,-13.69,3
asa_rect_1,boresight,0.0,1.78,-5.61,-12.41,40.62,101.67,-10.91,3
asa_rect_90offset,boresight,0.0,1.78,-9.48,-18.61,103.6,179.01,-12.83,3
asa_rect_90offset_run_2,boresight,0.0,1.78,-3.7,-12.31,85.49,170.49,-9.61,3
asa_rect_run_2,boresight,0.0,1.78,-7.35,-34.17,63.12,170.39,-12.58,3
asa_stock_run_2,boresight,0.0,1.78,-5.44,-23.65,92.3,166.79,-10.39,3
pc_rect,boresight,0.0,1.78,-5.66,-14.94,87.8,155.09,-10.98,3
pc_rect_90offset,boresight,0.0,1.78,-4.95,-15.31,74.42,171.6,-9.15,3
pc_stock,boresight,0.0,1.78,-11.64,-17.13,85.5,177.84,-16.37,3
pc_stock_run_2,boresight,0.0,1.78,-11.75,-20.19,101.43,165.1,-14.98,3
petg_rect_1,boresight,0.0,1.78,-5.48,-13.67,106.58,177.55,-11.84,3
petg_rect_1_run_2,boresight,0.0,1.78,-8.52,-19.1,99.34,175.19,-10.72,3
petg_rect_2,boresight,0.0,1.78,-4.74,-13.27,115.06,169.83,-8.24,3
petg_rect_2_90offset,boresight,0.0,1.78,-8.37,-17.38,50.76,140.18,-7.46,3
petg_rect_2_run_2,boresight,0.0,1.78,-8.58,-21.51,86.01,144.49,-11.96,3
petg_rect_3,boresight,0.0,1.78,-10.67,-21.03,82.99,176.39,-13.55,3
petg_rect_3_run_2,boresight,0.0,1.78,-8.47,-14.57,62.86,134.43,-12.79,3
petg_stock_1,boresight,0.0,1.78,-6.81,-11.87,118.22,172.57,-12.44,3
petg_stock_1_run_2,boresight,0.0,1.78,-10.24,-19.39,128.98,176.09,-15.43,3
petg_stock_2,boresight,0.0,1.78,-11.81,-17.06,97.02,176.46,-18.02,3
petg_stock_2_run_2,boresight,0.0,1.78,-7.29,-24.69,76.4,167.61,-10.13,3
