axis,angle_deg,tx,rx,range_m,power_db,phase_deg,phase_rel_ref_deg,snr_db,n_repeats,n_loops_total,coherence_within_file,coherence_across_repeats
boresight,0.0,0,0,1.4521,75.89,56.54,0.0,-2.92,21,15864,0.6232,0.662
boresight,0.0,0,1,1.4521,75.54,61.78,5.24,-2.92,21,15864,0.6116,0.6618
boresight,0.0,0,2,1.4521,76.83,44.95,-11.59,-2.92,21,15864,0.6445,0.7146
boresight,0.0,0,3,1.4521,77.04,49.64,-6.9,-2.92,21,15864,0.6737,0.7086
boresight,0.0,1,0,1.4521,77.6,46.03,-10.51,-2.92,21,15864,0.6245,0.7663
boresight,0.0,1,1,1.4521,76.76,43.48,-13.06,-2.92,21,15864,0.5952,0.7383
boresight,0.0,1,2,1.4521,77.32,31.56,-24.97,-2.92,21,15864,0.6359,0.7733
boresight,0.0,1,3,1.4521,78.07,39.7,-16.84,-2.92,21,15864,0.6507,0.7959
boresight,0.0,2,0,1.4521,74.54,69.48,12.94,-2.92,21,15864,0.5889,0.6073
boresight,0.0,2,1,1.4521,74.13,82.86,26.32,-2.92,21,15864,0.5865,0.5948
boresight,0.0,2,2,1.4521,75.11,61.39,4.86,-2.92,21,15864,0.619,0.6486
boresight,0.0,2,3,1.4521,75.59,66.24,9.71,-2.92,21,15864,0.642,0.6649
